#BajaNorte
#Guadalupe-Victoria 	24.26296,-103.93304
#Guanacevi 	23.35000,-105.25000
#Inde 	25.74885,-105.04961
#Lerdo 	25.53607,-103.52117
#Mapimi 	25.84094,-103.62313
#Mezquital 	22.83021,-104.43627
#Nazas 	25.22527,-104.17565
#Nombre-de-Dios 	23.84439,-104.18593
#Nuevo-Ideal 	24.90966,-104.80961
#Otaez 	24.69992,-105.99578
#Panuco-de-Coronado 	24.39094,-104.29571
#Penon-Blanco 	24.79578,-104.02759
#Poanas 	23.98023,-104.19918
#Pueblo-Nuevo 	23.75060,-105.53618
#Rodeo 	25.31287,-104.65624
#San-Bernardo 	26.31051,-105.63722
#San-Dimas 	23.64644,-105.79792
#San-Juan-de-Guadalupe 	24.84084,-102.78281
#San-Juan-del-Rio 	24.73243,-104.63473
#San-Luis-Del-Cordero 	25.38782,-104.19938
#San-Pedro-Del-Gallo 	25.77204,-104.29033
#Santa-Clara 	24.55587,-103.47726
#Santiago-Papasquiaro 	24.78938,-106.00805
#Suchil 	23.55000,-103.93333
#Tamazula 	24.96893,-106.96545
#Tepehuanes 	25.34483,-105.71830
#Tlahualilo 	26.07455,-103.39700
#Topia 	25.21255,-106.56964
#Vicente-Guerrero 	23.73629,-103.88299
#
##Coahulia
#Abasolo 	27.18178,-101.42654
#Acuna 	29.28548,-100.89075
#Arteaga 	25.44524,-100.83666
#Candela 	26.83657,-100.66689
#Castanos 	26.47182,-101.12208
#Cuatrocienegas 	26.78366,-102.00177
#Escobedo 	27.43402,-101.47265
#Francisco-I-Madero 	25.92808,-103.28729
#Frontera 	26.99732,-101.49207
#General-Cepeda 	25.36307,-101.59450
#Hidalgo 	27.79102,-99.87441
#Lamadrid 	27.11667,-101.81667
#Monclova 	27.03704,-101.35991
#Muzquiz 	27.68211,-101.29730
#Nadadores 	27.04556,-101.68917
#Nava 	28.42123,-100.76388
#Parras 	25.83127,-101.98354
#Piedras-Negras 	28.78333,-100.61667
#Progreso 	27.38090,-101.15284
#Ramos-Arizpe 	25.54088,-100.94887
#Sabinas 	27.88682,-101.14848
#Sacramento 	27.00339,-101.72471
#Saltillo 	25.23892,-103.18592
#San-Buenaventura 	27.21450,-101.61674
#San-Juan-de-Sabinas 	27.92708,-101.30240
#San-Pedro 	25.80909,-103.17794
#Sierra-Mojada 	27.27015,-103.69281
#Torreon 	25.52742,-103.46273
#Viesca 	25.33843,-102.79983
#Villa-Union 	28.20148,-100.77695
#Zaragoza 	28.66279,-101.80148
#
##Mexico
#Acambay 	19.95389,-99.84306
#Acolman 	19.64146,-98.88145
#Aculco 	20.09820,-99.82810
#Almoloya-de-Alquisiras 	18.55000,-100.30833
#Almoloya-de-Juarez 	19.37314,-99.83481
#Almoloya-del-Rio 	19.15861,-99.48861
#Amanalco 	19.86389,-99.71222
#Amatepec 	18.67563,-100.24290
#Amecameca 	19.11666,-98.75546
#Apaxco 	19.56326,-99.31564
#Atenco 	19.44735,-98.94447
#Atizapan 	19.17556,-99.48861
#Atizapan-de-Zaragoza 	19.59387,-99.25025
#Atlacomulco 	19.80099,-99.87672
#Atlautla 	19.02764,-98.78088
#Axapusco 	19.74558,-98.68957
#Ayapango 	19.12769,-98.80354
#Calimaya 	19.16564,-99.61778
#Capulhuac 	19.21259,-99.44629
#Chalco 	19.26683,-98.89585
#Chapa-de-Mota 	19.84754,-99.47325
#Chapultepec 	19.20076,-99.56182
#Chiautla 	19.53333,-98.88333
#Chicoloapan 	19.39534,-98.93298
#Chiconcuac 	19.56004,-98.89970
#Chimalhuacan 	19.43750,-98.95417
#Coacalco-de-Berriozabal 	19.63147,-99.10718
#Coatepec-Harinas 	18.90518,-99.78730
#Cocotitlan 	19.23315,-98.86500
#Coyotepec 	19.77459,-99.21669
#Cuautitlan 	19.67241,-99.17615
#Cuautitlan-Izcalli 	19.63343,-99.20404
#Donato-Guerra 	19.34937,-100.19412
